PERIMETER,AREA,LENGTH,HEIGHT,OUTPUT
533,7826,105,132,ROCK
557,7879,106,133,ROCK
567,7927,106,132,ROCK
510,8069,107,110,ROCK
546,8186,108,111,ROCK
513,8252,108,134,ROCK
536,8370,108,138,ROCK
539,8450,109,139,ROCK
562,8404,110,113,ROCK
543,8482,110,113,ROCK
530,8548,110,135,ROCK
547,8532,109,136,ROCK
542,8632,110,116,ROCK
553,8690,110,138,ROCK
553,8836,111,138,ROCK
561,8926,112,138,ROCK
548,9005,112,138,ROCK
548,9187,114,117,ROCK
587,9246,115,139,ROCK
568,9351,115,139,ROCK
567,9372,115,138,ROCK
562,9449,116,138,ROCK
574,9483,117,118,ROCK
554,9563,117,138,ROCK
581,9747,118,139,ROCK
567,9845,119,139,ROCK
585,9941,119,138,ROCK
594,10067,120,138,ROCK
613,10276,122,139,ROCK
589,10438,123,139,ROCK
587,10532,123,138,ROCK
588,10680,124,138,ROCK
608,10912,126,141,ROCK
625,11211,128,142,ROCK
602,11358,128,143,ROCK
649,11759,131,126,ROCK
616,11983,131,145,ROCK
625,12415,134,147,ROCK
651,12917,137,146,ROCK
663,13177,139,143,ROCK
729,13428,141,142,ROCK
694,13641,142,141,ROCK
716,13916,143,142,ROCK
721,14099,145,140,ROCK
733,14353,146,140,ROCK
742,14591,147,141,ROCK
764,14936,150,143,ROCK
746,15366,151,146,ROCK
788,15964,154,131,ROCK
785,16185,155,148,ROCK
795,16590,157,151,ROCK
795,17249,160,154,ROCK
795,17765,163,154,ROCK
818,18078,164,152,ROCK
807,18283,166,135,ROCK
842,18493,168,149,ROCK
821,18650,166,150,ROCK
820,19274,172,139,ROCK
851,19529,171,151,ROCK
871,19816,172,153,ROCK
857,20279,175,142,ROCK
886,20881,178,157,ROCK
890,21338,179,159,ROCK
931,21990,182,160,ROCK
899,22571,186,149,ROCK
965,23003,187,160,ROCK
958,23172,187,161,ROCK
969,23563,189,159,ROCK
975,24059,192,157,ROCK
942,24228,193,156,ROCK
915,24966,196,155,ROCK
855,24924,197,150,ROCK
817,25616,203,148,ROCK
871,25948,200,154,ROCK
915,24630,194,155,ROCK
895,23595,190,152,ROCK
916,21476,180,149,ROCK
870,20644,176,153,ROCK
846,19563,170,151,ROCK
833,18592,166,150,ROCK
781,17757,163,146,ROCK
799,17267,161,144,ROCK
817,16582,157,132,ROCK
798,16055,154,142,ROCK
765,15802,153,130,ROCK
775,15540,153,141,ROCK
756,14878,150,141,ROCK
713,13762,147,138,ROCK
718,13027,144,136,ROCK
721,12794,142,139,ROCK
694,12432,141,142,ROCK
674,11847,138,124,ROCK
651,10984,133,133,ROCK
612,10554,130,130,ROCK
618,10237,128,128,ROCK
597,9705,124,126,ROCK
596,9507,123,127,ROCK
579,9405,122,128,ROCK
592,9245,122,130,ROCK
555,8853,118,127,ROCK
571,8647,118,125,ROCK
539,8316,116,121,ROCK
544,7944,113,119,ROCK
535,7819,112,119,ROCK
523,7535,110,118,ROCK
535,7546,109,119,ROCK
537,8029,111,125,ROCK
565,8889,118,132,ROCK
599,9772,125,134,ROCK
626,10556,130,137,ROCK
642,11213,133,126,ROCK
700,12506,142,140,ROCK
714,13441,148,143,ROCK
728,14048,149,150,ROCK
751,15420,158,134,ROCK
786,16793,164,156,ROCK
812,17874,170,155,ROCK
809,18245,171,154,ROCK
853,19211,178,141,ROCK
882,20256,179,161,ROCK
845,19717,174,151,ROCK
824,16834,168,131,ROCK
748,14652,158,122,ROCK
734,14361,155,129,ROCK
704,13618,150,128,ROCK
696,13040,146,133,ROCK
684,12135,139,129,ROCK
650,11646,135,127,ROCK
636,11324,133,123,ROCK
625,11071,130,123,ROCK
600,10907,126,126,ROCK
620,10751,124,128,ROCK
589,10378,121,125,ROCK
573,10242,119,125,ROCK
590,10059,118,127,ROCK
574,9522,115,127,ROCK
571,9004,112,127,ROCK
536,8718,111,128,ROCK
543,8419,112,125,ROCK
538,8409,114,123,ROCK
557,8784,115,126,ROCK
599,9935,123,128,ROCK
614,10415,126,128,ROCK
619,11224,130,136,ROCK
636,11844,133,135,ROCK
682,12716,138,138,ROCK
687,12961,140,138,ROCK
710,13085,143,136,ROCK
710,12805,143,133,ROCK
662,12060,137,133,ROCK
633,11733,132,135,ROCK
650,11390,129,139,ROCK
611,11037,127,141,ROCK
613,10575,124,138,ROCK
634,10989,128,132,ROCK
672,12461,136,136,ROCK
763,14589,146,140,ROCK
793,16918,158,146,ROCK
841,18609,164,153,ROCK
827,18966,166,149,ROCK
778,17845,158,168,ROCK
779,17361,156,165,ROCK
747,16659,155,144,ROCK
751,15362,149,139,ROCK
760,14097,142,135,ROCK
716,13300,137,139,ROCK
683,13304,140,131,ROCK
687,13149,141,118,ROCK
620,12846,140,115,ROCK
705,13075,139,125,ROCK
687,13134,141,118,ROCK
598,12991,142,113,ROCK
589,12842,141,112,ROCK
685,13100,141,118,ROCK
693,13058,139,124,ROCK
699,13260,139,130,ROCK
753,13805,139,150,ROCK
720,15089,145,160,ROCK
758,16776,154,146,ROCK
776,17715,158,166,ROCK
690,17667,158,168,ROCK
601,17388,158,168,ROCK
660,17638,158,168,ROCK
779,17491,158,147,ROCK
765,17058,156,145,ROCK
781,16713,154,160,ROCK
695,16803,154,147,ROCK
713,16813,154,148,ROCK
773,16275,152,157,ROCK
758,15738,150,137,ROCK
764,15302,150,133,ROCK
782,15044,149,128,ROCK
733,14469,147,128,ROCK
657,14132,148,118,ROCK
701,13960,145,121,ROCK
753,14744,148,129,ROCK
760,14775,147,132,ROCK
776,14662,147,134,ROCK
732,14731,146,136,ROCK
767,14696,146,135,ROCK
